"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09"
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-03-23",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-03-24",,"0.75",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-03-25",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-03-26",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-03-27",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-03-28",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-03-29",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-03-30",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-03-31",,"0.26",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-04-01",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-04-02",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-04-03",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-04-04",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-04-05",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-04-06",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-04-07",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-04-08",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-04-09",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-04-10",,"0.14",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-04-11",,"0.01",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-04-12",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-04-13",,"0.07",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-04-14",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-04-15",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-04-16",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-04-17",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-04-18",,"4.95",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-04-19",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-04-20",,"0.81",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-04-21",,"0.46",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-04-22",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-04-23",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-04-24",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-04-25",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-04-26",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-04-27",,"0.98",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-04-28",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-04-29",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-04-30",,"0.07",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-05-01",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-05-02",,"0.43",,,,,,,,,,,,,,
